,t,x,w
0,0.0,1,0.0
1,0.5,1,0.0
2,1.0,2,0.0
3,1.5,2,0.0
4,2.0,4,0.0
5,2.5,4,0.0
6,3.0,8,0.0
7,3.5,8,0.0
8,4.0,16,0.0
9,4.5,16,0.0
10,5.0,32,0.0
11,5.5,32,0.0
12,6.0,64,0.0
13,6.5,63,1.0
14,7.0,126,1.0
15,7.5,124,3.0
16,8.0,248,3.0
17,8.5,242,9.0
18,9.0,484,9.0
19,9.5,466,27.0
20,10.0,932,27.0
21,10.5,878,81.0
22,11.0,1756,81.0
23,11.5,1594,243.0
24,12.0,3188,243.0
25,12.5,2702,729.0
26,13.0,5404,729.0
27,13.5,3946,2187.0
28,14.0,7892,2187.0
29,14.5,3518,6561.0
30,15.0,7036,6561.0
31,15.5,0,13597.0
32,16.0,0,13597.0
33,16.5,0,13597.0
34,17.0,0,13597.0
35,17.5,0,13597.0
36,18.0,0,13597.0
37,18.5,0,13597.0
38,19.0,0,13597.0
39,19.5,0,13597.0
40,20.0,0,13597.0
41,20.5,0,13597.0
42,21.0,0,13597.0
43,21.5,0,13597.0
44,22.0,0,13597.0
45,22.5,0,13597.0
46,23.0,0,13597.0
47,23.5,0,13597.0
48,24.0,0,13597.0
